product_name;brand;product_type;unit;unit_purchase;price_per_unit;total_price;currency;date;delivery;store_location;type_store;customer_name;cashier_name
Rebar 8mm;Master Steel;Steel;Meter;3;20000;60000;IDR;11/03/2022 15:12;Delivery;Surabaya;Branch;Budi Thalib;Zahra Jasmine
Tile Grout;Sika;Mortar;Sack;6;45000;270000;IDR;30/03/2023 11:57;Pickup;Jayapura;Branch;Wawan Jayawardana;Latifa Laila
Holcim 40 kg;Holcim;Cement;Sack;10;56000;560000;IDR;12/10/2021 13:11;Delivery;Jayapura;Branch;Melania Shihab;Marshanda Maharani
Water Faucet;Wasser;Sanitary;Piece;28;75000;2100000;IDR;08/03/2022 12:37;Pickup;Surabaya;Branch;Aleena Syaiban;Agus Cahyadi
Granite Tile;Indogress;Tile;Box;21;150000;3150000;IDR;08/11/2021 10:19;Delivery;Surabaya;Branch;Asep Pahlevi;Agus Cahyadi
Timber Beam (Kaso);Unbranded;Wood;Piece;9;25000;225000;IDR;01/06/2023 16:26;Delivery;Surabaya;Branch;Ayu Pahlevi;Isabell Inaya
Sandpaper;Taiyo;Paint Accessory;Piece;34;5000;170000;IDR;29/12/2021 12:07;Delivery;Jakarta;Branch;Aleena Wijaya;Ahmad Adam
Sandpaper;Taiyo;Paint Accessory;Piece;22;5000;110000;IDR;08/02/2022 14:06;Delivery;Surabaya;Branch;Asep Kusuma;Zahra Jasmine
Ceiling Cornice / Profile List;Aplus;Ceiling;Meter;15;15000;225000;IDR;15/11/2022 15:36;Pickup;Bandung;Branch;Erna Wijaya;Asep Aziz
Door Lock;Solid;Lock;Set;13;100000;1300000;IDR;07/07/2021 17:47;Delivery;Bandung;Branch;Erna Wijaya;Harum Hafsa
Hammer;Lippro;Tool;Piece;22;50000;1100000;IDR;13/07/2020 17:54;Pickup;Jakarta;Branch;Tono Syaiban;Erinna Elsa Elizha
Clay Roof Tile;Kanmuri;Roof Covering;Piece;15;2000;30000;IDR;20/12/2024 11:30;Delivery;Denpasar;Branch;Tono Syaiban;Permata Qaila
Wheelbarrow;Artco;Tool;Piece;43;450000;19350000;IDR;25/03/2023 9:13;Pickup;Tasikmalaya;Head Office;Erna Thalib;Al Harits
Asbestos Sheet;Djabesmen;Roof Covering;Meter;37;60000;2220000;IDR;01/09/2023 14:39;Delivery;Jayapura;Branch;Maya Shihab;Faiz Fadlurrahman
Paint Roller;Ace Oldfields;Paint Accessory;Piece;39;25000;975000;IDR;03/02/2020 15:38;Pickup;Surabaya;Branch;Erna Shihab;Isabell Inaya
Shovel;Camel;Tool;Piece;35;75000;2625000;IDR;14/03/2022 13:38;Pickup;Surabaya;Branch;Aleena Tanuwijaya;Agus Cahyadi
Roof Batten (Reng);Unbranded;Wood;Piece;31;15000;465000;IDR;07/03/2020 13:11;Delivery;Denpasar;Branch;Budi Malaka;Nina Octavia
Holcim 50 kg;Holcim;Cement;Sack;37;68000;2516000;IDR;20/01/2020 12:26;Pickup;Medan;Branch;Ferry Pahlevi;Chairil Dhaifullah
Plaster Mortar;Mortar Utama (MU);Mortar;Sack;15;50000;750000;IDR;26/01/2023 15:50;Delivery;Surabaya;Branch;Kayla Pahlevi;Zahra Jasmine
Ceramic Tile;Roman;Tile;Box;33;75000;2475000;IDR;22/07/2021 12:38;Delivery;Bandung;Branch;Agung Pahlevi;Asep Aziz
Ceramic Tile;Roman;Tile;Box;49;75000;3675000;IDR;10/03/2023 8:48;Delivery;Denpasar;Branch;Ferry Wijaya;Permata Qaila
Timber Roof Frame;Unbranded;Roof Frame;Meter;28;30000;840000;IDR;04/08/2021 10:49;Pickup;Surabaya;Branch;Syifa Kusuma;Agus Cahyadi
Holcim 50 kg;Holcim;Cement;Sack;16;68000;1088000;IDR;27/01/2021 12:42;Delivery;Tasikmalaya;Head Office;Hendra Ubaid;Ayu Putri Avicenna
Holcim 50 kg;Holcim;Cement;Sack;47;68000;3196000;IDR;29/09/2021 9:47;Delivery;Jakarta;Branch;Nina Syaiban;Erinna Elsa Elizha
Lightweight Steel Roof Frame;Taso;Roof Frame;Meter;48;45000;2160000;IDR;01/12/2022 17:59;Delivery;Medan;Branch;Nina Thalib;Ehsan Aziz
Sandpaper;Taiyo;Paint Accessory;Piece;1;5000;5000;IDR;02/04/2024 17:39;Delivery;Denpasar;Branch;Nina Pahlevi;Ilyas Jabar
PVC Pipe;Rucika;Plumbing;Meter;5;16000;80000;IDR;13/04/2022 17:53;Pickup;Denpasar;Branch;Tono Pahlevi;Nina Octavia
Gresik 40 kg;Gresik;Cement;Sack;11;57000;627000;IDR;31/05/2024 8:08;Delivery;Denpasar;Branch;Kayla Shihab;Ibrahim Iman
Conduit Pipe;Clipsal;Electrical;Meter;14;7000;98000;IDR;29/04/2024 17:23;Delivery;Tasikmalaya;Head Office;Agus Malaka;Al Harits
Holcim 50 kg;Holcim;Cement;Sack;16;68000;1088000;IDR;06/02/2020 8:27;Delivery;Jayapura;Branch;Saiful Jayawardana;Latifa Laila
Steel Door;WINA;Door;Piece;24;700000;16800000;IDR;07/12/2020 12:07;Delivery;Tasikmalaya;Head Office;Hendra Kusuma;Ayu Putri Avicenna
Tiga Roda 40 kg;Tiga Roda;Cement;Sack;44;64000;2816000;IDR;29/03/2022 8:47;Delivery;Bandung;Branch;Erna Shihab;Anwar Arif Akhtar
Concrete Sand;Unbranded;Sand;Cubic Meter;24;300000;7200000;IDR;06/12/2022 16:48;Pickup;Denpasar;Branch;Asep Pahlevi;Permata Qaila
Tiga Roda 50 kg;Tiga Roda;Cement;Sack;21;76000;1596000;IDR;04/04/2024 14:16;Delivery;Jayapura;Branch;Ayu Pahlevi;Marshanda Maharani
Door Hinge;Belleza;Lock Accessory;Pair;10;30000;300000;IDR;28/12/2020 13:08;Delivery;Tasikmalaya;Head Office;Hendra Jayawardana;Al Harits
PVC Pipe;Rucika;Plumbing;Meter;6;16000;96000;IDR;08/06/2020 12:30;Delivery;Jakarta;Branch;Melania Tanuwijaya;Ahmad Adam
Tiga Roda 50 kg;Tiga Roda;Cement;Sack;24;76000;1824000;IDR;14/08/2024 17:59;Pickup;Bandung;Branch;Melania Ubaid;Anwar Arif Akhtar
Tiga Roda 40 kg;Tiga Roda;Cement;Sack;3;64000;192000;IDR;15/09/2020 15:02;Pickup;Bandung;Branch;Azahra Shihab;Hera Harsha
Wooden Beam;Unbranded;Wood;Piece;31;40000;1240000;IDR;07/07/2020 14:06;Delivery;Tasikmalaya;Head Office;Budi Pahlevi;Naura Aliya Lestari
Spirit Level;Krisbow;Tool;Piece;16;65000;1040000;IDR;16/05/2022 13:44;Pickup;Jayapura;Branch;Agung Malaka;Fauzi Ghaffar
PVC Pipe;Rucika;Plumbing;Meter;4;16000;64000;IDR;11/06/2020 16:10;Delivery;Surabaya;Branch;Aleena Ubaid;Isabell Inaya
Water Faucet;Wasser;Sanitary;Piece;18;75000;1350000;IDR;16/08/2022 9:51;Pickup;Jayapura;Branch;Melania Ubaid;Faiz Fadlurrahman
Door Frame (Wood);Unbranded;Door Frame;Piece;33;250000;8250000;IDR;30/03/2024 11:05;Pickup;Tasikmalaya;Head Office;Ferry Ubaid;Atyla Azfa
Gresik 40 kg;Gresik;Cement;Sack;31;57000;1767000;IDR;15/12/2023 11:23;Delivery;Denpasar;Branch;Ferry Malaka;Ibrahim Iman
Plaster Mortar;Mortar Utama (MU);Mortar;Sack;7;50000;350000;IDR;27/09/2024 17:14;Delivery;Jakarta;Branch;Hendra Malaka;Fiona Gianna
Shovel;Camel;Tool;Piece;40;75000;3000000;IDR;06/03/2024 11:57;Delivery;Medan;Branch;Aleena Jayawardana;Chairil Dhaifullah
Concrete Block;Bricon;Brick;Piece;28;5000;140000;IDR;19/03/2024 15:31;Pickup;Tasikmalaya;Head Office;Ayu Jayawardana;Naura Aliya Lestari
Wooden Door;Unbranded;Door;Piece;42;500000;21000000;IDR;01/11/2022 9:35;Pickup;Medan;Branch;Kayla Kusuma;Ehsan Aziz
Measuring Tape;Stanley;Tool;Piece;48;30000;1440000;IDR;20/12/2024 8:25;Delivery;Tasikmalaya;Head Office;Erna Jayawardana;Al Harits
Gresik 40 kg;Gresik;Cement;Sack;37;57000;2109000;IDR;06/05/2024 13:26;Delivery;Tasikmalaya;Head Office;Azahra Tanuwijaya;Atyla Azfa
Wall Paint;Dulux;Paint;Can;47;120000;5640000;IDR;13/10/2021 15:09;Delivery;Jakarta;Branch;Hendra Ubaid;Fiona Gianna
Hand Saw;Tekiro;Tool;Piece;18;60000;1080000;IDR;20/01/2023 17:51;Delivery;Denpasar;Branch;Budi Malaka;Ibrahim Iman
Hand Saw;Tekiro;Tool;Piece;13;60000;780000;IDR;23/10/2020 15:14;Pickup;Surabaya;Branch;Saiful Shihab;Burhan Bakhtiar
Steel Door;WINA;Door;Piece;26;700000;18200000;IDR;27/05/2023 15:33;Pickup;Bandung;Branch;Hendra Shihab;Anwar Arif Akhtar
Ceiling Cornice / Profile List;Aplus;Ceiling;Meter;26;15000;390000;IDR;20/05/2022 13:02;Delivery;Tasikmalaya;Head Office;Erna Jayawardana;Ayu Putri Avicenna
Power Outlet;Panasonic;Electrical;Piece;20;20000;400000;IDR;15/05/2021 16:09;Pickup;Tasikmalaya;Head Office;Agus Ubaid;Atyla Azfa
Hammer;Lippro;Tool;Piece;7;50000;350000;IDR;28/10/2022 11:23;Pickup;Tasikmalaya;Head Office;Saiful Syaiban;Ayu Putri Avicenna
Masonry Sand;Unbranded;Sand;Cubic Meter;14;250000;3500000;IDR;10/05/2023 14:07;Delivery;Medan;Branch;Melania Wijaya;Kezia Karen
Gresik 50 kg;Gresik;Cement;Sack;8;70000;560000;IDR;04/03/2021 15:06;Pickup;Jayapura;Branch;Syifa Wijaya;Faiz Fadlurrahman
Rebar 10mm;Gunung Steel;Steel;Meter;16;25000;400000;IDR;09/03/2023 14:13;Pickup;Bandung;Branch;Tono Syaiban;Harum Hafsa
Sandpaper;Taiyo;Paint Accessory;Piece;21;5000;105000;IDR;29/05/2020 16:09;Delivery;Jayapura;Branch;Azahra Syaiban;Marshanda Maharani
Screwdriver Set;Tekiro;Tool;Set;35;40000;1400000;IDR;22/04/2024 17:02;Delivery;Denpasar;Branch;Saiful Thalib;Nina Octavia
Spandek / Galvalume Sheet;BlueScope;Roof Covering;Meter;10;90000;900000;IDR;13/09/2022 17:42;Pickup;Bandung;Branch;Azahra Ubaid;Asep Aziz
Roof Batten (Reng);Unbranded;Wood;Piece;24;15000;360000;IDR;26/12/2022 16:54;Pickup;Bandung;Branch;Kayla Jayawardana;Anwar Arif Akhtar
Paint Brush;Eterna;Paint Accessory;Piece;26;15000;390000;IDR;17/08/2022 11:18;Delivery;Surabaya;Branch;Azahra Jayawardana;Zahra Jasmine
Rebar 6mm;Krakatau Steel;Steel;Meter;32;15000;480000;IDR;23/09/2022 16:14;Delivery;Medan;Branch;Kayla Wijaya;Kayla Kiki Lena
Formwork Board (Shuttering);Unbranded;Wood;Piece;16;30000;480000;IDR;23/02/2023 14:38;Pickup;Denpasar;Branch;Melania Thalib;Ibrahim Iman
Sitting Toilet;TOTO;Sanitary;Piece;4;1200000;4800000;IDR;06/01/2020 8:32;Pickup;Medan;Branch;Nina Kusuma;Ehsan Aziz
Lightweight Brick (AAC Block);Hebel;Brick;Piece;12;10000;120000;IDR;19/02/2024 13:57;Pickup;Medan;Branch;Ferry Thalib;Kayla Kiki Lena
Wheelbarrow;Artco;Tool;Piece;47;450000;21150000;IDR;25/10/2022 14:59;Pickup;Tasikmalaya;Head Office;Ayu Shihab;Ayu Putri Avicenna
Tile Adhesive Mortar;AM;Mortar;Sack;48;60000;2880000;IDR;02/06/2022 16:42;Pickup;Denpasar;Branch;Maya Malaka;Ilyas Jabar
Wall Paint;Dulux;Paint;Can;37;120000;4440000;IDR;30/11/2022 15:09;Delivery;Jayapura;Branch;Ananda Jayawardana;Marshanda Maharani
Red Brick;Laksana;Brick;Piece;22;800;17600;IDR;03/02/2024 13:35;Pickup;Medan;Branch;Agung Thalib;Ehsan Aziz
Power Outlet;Panasonic;Electrical;Piece;19;20000;380000;IDR;07/06/2021 9:38;Pickup;Tasikmalaya;Head Office;Syifa Thalib;Atyla Azfa
Red Brick;Laksana;Brick;Piece;49;800;39200;IDR;13/01/2020 16:30;Delivery;Bandung;Branch;Agus Jayawardana;Harum Hafsa
Screwdriver Set;Tekiro;Tool;Set;20;40000;800000;IDR;10/04/2020 11:42;Pickup;Denpasar;Branch;Kayla Thalib;Nina Octavia
Rebar 10mm;Gunung Steel;Steel;Meter;29;25000;725000;IDR;15/10/2022 17:17;Pickup;Surabaya;Branch;Saiful Thalib;Agus Cahyadi
Asbestos Sheet;Djabesmen;Roof Covering;Meter;44;60000;2640000;IDR;20/01/2023 17:32;Delivery;Denpasar;Branch;Wawan Shihab;Ilyas Jabar
Ceramic Tile;Roman;Tile;Box;5;75000;375000;IDR;28/10/2023 9:59;Delivery;Surabaya;Branch;Budi Shihab;Zahra Jasmine
Rebar 6mm;Krakatau Steel;Steel;Meter;35;15000;525000;IDR;19/02/2022 10:24;Delivery;Bandung;Branch;Tono Tanuwijaya;Anwar Arif Akhtar
Ceramic Tile;Roman;Tile;Box;17;75000;1275000;IDR;23/11/2020 13:45;Delivery;Jakarta;Branch;Erna Pahlevi;Muhammad Fikru
Timber Roof Frame;Unbranded;Roof Frame;Meter;7;30000;210000;IDR;11/03/2020 13:07;Pickup;Tasikmalaya;Head Office;Kayla Tanuwijaya;Naura Aliya Lestari
Concrete Roof Tile;Monier;Roof Covering;Piece;17;3500;59500;IDR;30/03/2023 9:48;Pickup;Medan;Branch;Wawan Malaka;Chairil Dhaifullah
Power Outlet;Panasonic;Electrical;Piece;22;20000;440000;IDR;04/07/2023 8:37;Delivery;Tasikmalaya;Head Office;Nina Ubaid;Naura Aliya Lestari
Hand Saw;Tekiro;Tool;Piece;20;60000;1200000;IDR;01/02/2024 12:04;Pickup;Surabaya;Branch;Ayu Ubaid;Zahra Jasmine
Electrical Cable;Supreme;Electrical;Meter;22;5000;110000;IDR;08/11/2024 12:22;Delivery;Surabaya;Branch;Maya Tanuwijaya;Agus Cahyadi
Power Outlet;Panasonic;Electrical;Piece;19;20000;380000;IDR;04/03/2020 16:33;Pickup;Bandung;Branch;Kayla Malaka;Harum Hafsa
Trowel;Lippro;Tool;Piece;42;25000;1050000;IDR;01/07/2023 13:20;Pickup;Denpasar;Branch;Ananda Malaka;Permata Qaila
River Stone;Unbranded;Stone;Cubic Meter;25;330000;8250000;IDR;05/12/2022 14:03;Delivery;Jakarta;Branch;Kayla Jayawardana;Ahmad Adam
Gresik 50 kg;Gresik;Cement;Sack;44;70000;3080000;IDR;25/09/2020 13:32;Pickup;Jayapura;Branch;Budi Tanuwijaya;Faiz Fadlurrahman
Holcim 50 kg;Holcim;Cement;Sack;5;68000;340000;IDR;03/09/2022 12:18;Delivery;Denpasar;Branch;Aleena Pahlevi;Permata Qaila
Electrical Cable;Supreme;Electrical;Meter;14;5000;70000;IDR;23/09/2023 11:09;Delivery;Jayapura;Branch;Nina Thalib;Faiz Fadlurrahman
Gresik 40 kg;Gresik;Cement;Sack;33;57000;1881000;IDR;25/01/2024 16:06;Pickup;Bandung;Branch;Tono Ubaid;Anwar Arif Akhtar
Ceiling Cornice / Profile List;Aplus;Ceiling;Meter;22;15000;330000;IDR;19/07/2023 11:12;Pickup;Jakarta;Branch;Saiful Malaka;Ahmad Adam
Door Frame (Wood);Unbranded;Door Frame;Piece;38;250000;9500000;IDR;23/10/2023 16:41;Pickup;Surabaya;Branch;Ferry Thalib;Agus Cahyadi
Lamp Bulb;Philips;Electrical;Piece;20;15000;300000;IDR;16/01/2020 12:23;Pickup;Medan;Branch;Ferry Pahlevi;Kayla Kiki Lena
Tiga Roda 50 kg;Tiga Roda;Cement;Sack;50;76000;3800000;IDR;10/10/2024 12:14;Delivery;Bandung;Branch;Kayla Malaka;Hera Harsha
Water Faucet;Wasser;Sanitary;Piece;41;75000;3075000;IDR;07/01/2023 16:13;Pickup;Jakarta;Branch;Azahra Syaiban;Fiona Gianna
Spandek / Galvalume Sheet;BlueScope;Roof Covering;Meter;43;90000;3870000;IDR;18/01/2021 14:43;Delivery;Medan;Branch;Ferry Kusuma;Ehsan Aziz
Gresik 50 kg;Gresik;Cement;Sack;3;70000;210000;IDR;18/03/2021 8:43;Pickup;Bandung;Branch;Maya Shihab;Harum Hafsa
Spandek / Galvalume Sheet;BlueScope;Roof Covering;Meter;28;90000;2520000;IDR;02/05/2022 15:34;Pickup;Bandung;Branch;Hendra Thalib;Hera Harsha
Power Outlet;Panasonic;Electrical;Piece;49;20000;980000;IDR;14/11/2020 9:39;Pickup;Surabaya;Branch;Tono Pahlevi;Agus Cahyadi
PVC Pipe;Rucika;Plumbing;Meter;32;16000;512000;IDR;16/03/2021 12:51;Pickup;Bandung;Branch;Tono Wijaya;Hera Harsha
Squat Toilet;INA;Sanitary;Piece;24;300000;7200000;IDR;11/01/2022 12:05;Delivery;Bandung;Branch;Ferry Syaiban;Harum Hafsa
Sandpaper;Taiyo;Paint Accessory;Piece;20;5000;100000;IDR;29/03/2024 9:46;Pickup;Jayapura;Branch;Hendra Tanuwijaya;Faiz Fadlurrahman
Spandek / Galvalume Sheet;BlueScope;Roof Covering;Meter;1;90000;90000;IDR;28/12/2021 8:59;Delivery;Bandung;Branch;Maya Syaiban;Asep Aziz
Wash Basin (Sink);TOTO;Sanitary;Piece;38;600000;22800000;IDR;28/06/2022 17:17;Pickup;Bandung;Branch;Saiful Thalib;Asep Aziz
Power Outlet;Panasonic;Electrical;Piece;34;20000;680000;IDR;12/03/2024 10:12;Pickup;Denpasar;Branch;Ferry Shihab;Permata Qaila
Lightweight Steel Roof Frame;Taso;Roof Frame;Meter;39;45000;1755000;IDR;10/11/2022 16:17;Delivery;Denpasar;Branch;Ferry Wijaya;Ibrahim Iman
PVC Door;Maspion;Door;Piece;28;350000;9800000;IDR;09/06/2021 17:51;Pickup;Medan;Branch;Budi Wijaya;Ehsan Aziz
Wall Putty (Filler);Matex;Paint Accessory;Kg;18;20000;360000;IDR;19/11/2022 16:43;Delivery;Surabaya;Branch;Kayla Thalib;Zahra Jasmine
Rebar 8mm;Master Steel;Steel;Meter;42;20000;840000;IDR;06/10/2022 15:12;Delivery;Denpasar;Branch;Aleena Jayawardana;Ilyas Jabar
Timber Beam (Kaso);Unbranded;Wood;Piece;34;25000;850000;IDR;19/08/2020 15:31;Pickup;Denpasar;Branch;Agus Kusuma;Ibrahim Iman
Tiga Roda 40 kg;Tiga Roda;Cement;Sack;48;64000;3072000;IDR;02/05/2020 12:57;Delivery;Surabaya;Branch;Azahra Pahlevi;Zahra Jasmine
Tiga Roda 50 kg;Tiga Roda;Cement;Sack;48;76000;3648000;IDR;16/02/2024 15:08;Delivery;Jakarta;Branch;Budi Wijaya;Erinna Elsa Elizha
Hoe;Camel;Tool;Piece;40;80000;3200000;IDR;28/09/2023 14:00;Delivery;Tasikmalaya;Head Office;Erna Thalib;Ayu Putri Avicenna
Ceiling Cornice / Profile List;Aplus;Ceiling;Meter;1;15000;15000;IDR;13/11/2024 15:10;Pickup;Jayapura;Branch;Aleena Malaka;Latifa Laila
Spandek / Galvalume Sheet;BlueScope;Roof Covering;Meter;46;90000;4140000;IDR;19/08/2020 16:57;Pickup;Tasikmalaya;Head Office;Asep Ubaid;Al Harits
Power Outlet;Panasonic;Electrical;Piece;27;20000;540000;IDR;03/02/2023 11:42;Pickup;Medan;Branch;Hendra Thalib;Kezia Karen
Wall Putty (Filler);Matex;Paint Accessory;Kg;36;20000;720000;IDR;04/08/2021 12:44;Delivery;Surabaya;Branch;Asep Syaiban;Zahra Jasmine
Conduit Pipe;Clipsal;Electrical;Meter;8;7000;56000;IDR;12/10/2023 9:49;Pickup;Tasikmalaya;Head Office;Saiful Kusuma;Al Harits
Wheelbarrow;Artco;Tool;Piece;34;450000;15300000;IDR;12/03/2020 15:39;Delivery;Bandung;Branch;Wawan Kusuma;Asep Aziz
Conduit Pipe;Clipsal;Electrical;Meter;29;7000;203000;IDR;20/01/2023 17:06;Pickup;Surabaya;Branch;Nina Malaka;Agus Cahyadi
Spandek / Galvalume Sheet;BlueScope;Roof Covering;Meter;40;90000;3600000;IDR;23/12/2021 13:01;Pickup;Surabaya;Branch;Wawan Shihab;Zahra Jasmine
Door Handle;Belleza;Lock Accessory;Piece;23;50000;1150000;IDR;19/09/2020 9:42;Pickup;Tasikmalaya;Head Office;Wawan Shihab;Al Harits
Holcim 50 kg;Holcim;Cement;Sack;25;68000;1700000;IDR;10/08/2024 10:51;Delivery;Denpasar;Branch;Agus Kusuma;Ibrahim Iman
Formwork Board (Shuttering);Unbranded;Wood;Piece;15;30000;450000;IDR;04/11/2022 14:12;Delivery;Surabaya;Branch;Wawan Syaiban;Burhan Bakhtiar
Crushed Stone / Gravel;Unbranded;Stone;Cubic Meter;6;350000;2100000;IDR;27/09/2023 10:05;Pickup;Jayapura;Branch;Ferry Malaka;Fauzi Ghaffar
Asbestos Sheet;Djabesmen;Roof Covering;Meter;39;60000;2340000;IDR;10/05/2024 13:35;Pickup;Medan;Branch;Saiful Shihab;Kayla Kiki Lena
Door Frame (Wood);Unbranded;Door Frame;Piece;21;250000;5250000;IDR;25/07/2022 12:17;Delivery;Jakarta;Branch;Tono Thalib;Erinna Elsa Elizha
Door Handle;Belleza;Lock Accessory;Piece;28;50000;1400000;IDR;31/01/2022 17:46;Delivery;Denpasar;Branch;Ayu Jayawardana;Ilyas Jabar
Masonry Sand;Unbranded;Sand;Cubic Meter;19;250000;4750000;IDR;12/03/2024 12:15;Delivery;Medan;Branch;Syifa Malaka;Kayla Kiki Lena
PVC Door;Maspion;Door;Piece;28;350000;9800000;IDR;10/12/2022 15:15;Pickup;Medan;Branch;Maya Tanuwijaya;Chairil Dhaifullah
Holcim 50 kg;Holcim;Cement;Sack;20;68000;1360000;IDR;16/01/2020 17:07;Delivery;Surabaya;Branch;Tono Pahlevi;Agus Cahyadi
Lightweight Steel Roof Frame;Taso;Roof Frame;Meter;49;45000;2205000;IDR;29/04/2021 15:28;Pickup;Surabaya;Branch;Agus Thalib;Agus Cahyadi
Hammer;Lippro;Tool;Piece;23;50000;1150000;IDR;02/10/2023 9:03;Delivery;Jakarta;Branch;Azahra Kusuma;Ahmad Adam
PVC Pipe;Wavin;Plumbing;Meter;46;15000;690000;IDR;06/06/2023 14:42;Delivery;Medan;Branch;Hendra Syaiban;Kayla Kiki Lena
Screwdriver Set;Tekiro;Tool;Set;11;40000;440000;IDR;22/10/2024 15:22;Pickup;Denpasar;Branch;Azahra Pahlevi;Nina Octavia
Hammer;Lippro;Tool;Piece;45;50000;2250000;IDR;09/10/2021 14:12;Delivery;Surabaya;Branch;Wawan Malaka;Isabell Inaya
Steel Door;WINA;Door;Piece;44;700000;30800000;IDR;20/09/2022 14:08;Pickup;Surabaya;Branch;Agung Jayawardana;Zahra Jasmine
Door Frame (Wood);Unbranded;Door Frame;Piece;34;250000;8500000;IDR;26/02/2021 16:03;Pickup;Jayapura;Branch;Aleena Syaiban;Marshanda Maharani
PVC Pipe;Rucika;Plumbing;Meter;43;16000;688000;IDR;14/02/2020 13:45;Delivery;Tasikmalaya;Head Office;Azahra Wijaya;Atyla Azfa
Granite Tile;Indogress;Tile;Box;30;150000;4500000;IDR;27/04/2024 8:04;Pickup;Denpasar;Branch;Erna Malaka;Nina Octavia
Wooden Beam;Unbranded;Wood;Piece;11;40000;440000;IDR;25/03/2023 13:29;Delivery;Denpasar;Branch;Melania Kusuma;Permata Qaila
Shower;American Standard;Sanitary;Set;50;200000;10000000;IDR;24/03/2020 8:44;Pickup;Tasikmalaya;Head Office;Agung Tanuwijaya;Ayu Putri Avicenna
PVC Pipe;Wavin;Plumbing;Meter;5;15000;75000;IDR;23/07/2021 8:47;Delivery;Denpasar;Branch;Budi Jayawardana;Ilyas Jabar
Paint Brush;Eterna;Paint Accessory;Piece;9;15000;135000;IDR;16/03/2022 14:30;Delivery;Jayapura;Branch;Azahra Syaiban;Fauzi Ghaffar
Screwdriver Set;Tekiro;Tool;Set;33;40000;1320000;IDR;07/12/2021 15:10;Delivery;Bandung;Branch;Budi Malaka;Harum Hafsa
Lightweight Brick (AAC Block);Hebel;Brick;Piece;40;10000;400000;IDR;02/12/2020 16:55;Delivery;Bandung;Branch;Asep Wijaya;Anwar Arif Akhtar
Floor Drain;Onda;Sanitary;Piece;24;50000;1200000;IDR;02/08/2022 12:18;Delivery;Surabaya;Branch;Melania Kusuma;Agus Cahyadi
Ceiling Cornice / Profile List;Aplus;Ceiling;Meter;49;15000;735000;IDR;28/02/2020 12:51;Delivery;Jayapura;Branch;Tono Malaka;Marshanda Maharani
Steel Door;WINA;Door;Piece;4;700000;2800000;IDR;22/05/2023 17:16;Pickup;Bandung;Branch;Ananda Wijaya;Harum Hafsa
Concrete Block;Bricon;Brick;Piece;22;5000;110000;IDR;12/06/2024 10:22;Delivery;Surabaya;Branch;Azahra Pahlevi;Isabell Inaya
Spirit Level;Krisbow;Tool;Piece;41;65000;2665000;IDR;09/08/2024 17:49;Pickup;Tasikmalaya;Head Office;Kayla Malaka;Naura Aliya Lestari
Hand Saw;Tekiro;Tool;Piece;34;60000;2040000;IDR;10/03/2020 14:28;Delivery;Medan;Branch;Tono Syaiban;Kezia Karen
Plaster Mortar;Mortar Utama (MU);Mortar;Sack;47;50000;2350000;IDR;02/07/2021 16:25;Pickup;Jakarta;Branch;Tono Malaka;Erinna Elsa Elizha
Tiga Roda 50 kg;Tiga Roda;Cement;Sack;15;76000;1140000;IDR;19/02/2021 8:12;Pickup;Medan;Branch;Tono Syaiban;Ehsan Aziz
Floor Drain;Onda;Sanitary;Piece;41;50000;2050000;IDR;21/07/2023 9:02;Delivery;Denpasar;Branch;Kayla Thalib;Ibrahim Iman
Red Brick;Laksana;Brick;Piece;42;800;33600;IDR;28/08/2020 10:00;Pickup;Bandung;Branch;Maya Malaka;Anwar Arif Akhtar
Tiga Roda 40 kg;Tiga Roda;Cement;Sack;22;64000;1408000;IDR;26/07/2023 14:15;Delivery;Bandung;Branch;Tono Jayawardana;Anwar Arif Akhtar
Lamp Bulb;Philips;Electrical;Piece;30;15000;450000;IDR;23/05/2024 13:36;Pickup;Jayapura;Branch;Budi Syaiban;Latifa Laila
Lightweight Steel Roof Frame;Taso;Roof Frame;Meter;17;45000;765000;IDR;04/08/2023 10:32;Pickup;Tasikmalaya;Head Office;Ferry Kusuma;Al Harits
Sitting Toilet;TOTO;Sanitary;Piece;31;1200000;37200000;IDR;28/09/2020 12:36;Pickup;Jayapura;Branch;Agung Kusuma;Marshanda Maharani
Door Frame (Wood);Unbranded;Door Frame;Piece;21;250000;5250000;IDR;09/04/2020 15:56;Pickup;Tasikmalaya;Head Office;Saiful Jayawardana;Atyla Azfa
Tile Grout;Sika;Mortar;Sack;39;45000;1755000;IDR;21/02/2020 10:11;Delivery;Jayapura;Branch;Asep Thalib;Latifa Laila
Gresik 50 kg;Gresik;Cement;Sack;13;70000;910000;IDR;01/06/2022 15:16;Delivery;Surabaya;Branch;Agung Malaka;Agus Cahyadi
Sandpaper;Taiyo;Paint Accessory;Piece;27;5000;135000;IDR;12/04/2022 11:40;Delivery;Bandung;Branch;Ananda Pahlevi;Harum Hafsa
Sitting Toilet;TOTO;Sanitary;Piece;15;1200000;18000000;IDR;11/01/2024 15:12;Pickup;Tasikmalaya;Head Office;Tono Wijaya;Al Harits
Holcim 40 kg;Holcim;Cement;Sack;29;56000;1624000;IDR;04/12/2021 11:04;Delivery;Denpasar;Branch;Maya Jayawardana;Nina Octavia
